domain,variant,query_idx,question,judge_faithfulness,judge_relevance,judge_coherence,judge_completeness,faithfulness_reason,relevance_reason
healthcare,hybrid_semantic_heavy,1,What vital signs should be measured during a patient visit?,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
healthcare,hybrid_semantic_heavy,2,What is the normal range for blood pressure and oxygen saturation?,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
healthcare,hybrid_semantic_heavy,3,What are the Five Rights of medication administration?,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
healthcare,hybrid_semantic_heavy,4,Explain the different precaution levels used in infection control.,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
healthcare,hybrid_semantic_heavy,5,"What diagnostic test measures red and white blood cells, hemoglobin, and platelets?",5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
healthcare,semantic_only,1,What vital signs should be measured during a patient visit?,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
healthcare,semantic_only,2,What is the normal range for blood pressure and oxygen saturation?,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
healthcare,semantic_only,3,What are the Five Rights of medication administration?,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
healthcare,semantic_only,4,Explain the different precaution levels used in infection control.,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
healthcare,semantic_only,5,"What diagnostic test measures red and white blood cells, hemoglobin, and platelets?",5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
healthcare,hybrid_bm25_heavy,1,What vital signs should be measured during a patient visit?,5,5,5,5,Error: 404 models/gemini-1.5-flash is not found for API v,Error: 404 models/gemini-1.5-flash is not found for API v
