dataset,query_id,recall,precision,hit_rate,mrr,ndcg_5,latency_ms
natural_questions,0,0.3333333333333333,0.2,1.0,1.0,1.0,1.4467239379882812
natural_questions,1,0.0,0.0,0.0,0.0,0.0,1.1894702911376953
natural_questions,2,1.0,0.2,1.0,1.0,1.0,0.9593963623046875
natural_questions,3,0.3333333333333333,0.3,1.0,1.0,1.0,1.4317035675048828
natural_questions,4,0.0,0.0,0.0,0.0,0.0,1.2259483337402344
trec_covid,0,0.2,0.1,1.0,0.5,0.6309297535714575,1.1332035064697266
trec_covid,1,0.0,0.0,0.0,0.0,0.0,1.2819766998291016
trec_covid,2,0.4,0.6,1.0,1.0,0.7860137352654724,1.226186752319336
trec_covid,3,0.0,0.0,0.0,0.0,0.0,1.1646747589111328
trec_covid,4,0.6,0.5,1.0,1.0,0.6164336326286644,1.2853145599365234
